id;issue_d;ano_mes;ano;valor_emprestimo;taxa_juros;parcela;term_meses;grade;sub_grade;renda_anual;faixa_renda;dti;faixa_dti;finalidade;estado;status_verificacao;moradia;loan_status;status_carteira;inadimplente
134467986;01/05/2018;01/05/2018;2018;11000.0;6.83;338.8;36.0;A;A3;75000.0;50k-75k;17.26;out/20;debt_consolidation;FL;Not Verified;RENT;Current;Em dia;0
120555113;01/10/2017;01/10/2017;2017;35000.0;7.21;1084.07;36.0;A;A3;236000.0;150k+;25.06;20-30;credit_card;NC;Verified;MORTGAGE;Current;Em dia;0
130024561;01/03/2018;01/03/2018;2018;36000.0;7.34;1117.19;36.0;A;A4;100000.0;75k-100k;23.08;20-30;debt_consolidation;NJ;Source Verified;OWN;Current;Em dia;0
140099099;01/10/2018;01/10/2018;2018;29225.0;8.46;922.02;36.0;A;A5;180000.0;150k+;22.49;20-30;debt_consolidation;CA;Not Verified;MORTGAGE;Current;Em dia;0
144104200;01/11/2018;01/11/2018;2018;40000.0;8.81;1268.46;36.0;A;A5;189000.0;150k+;8.42;0-10;home_improvement;CO;Source Verified;MORTGAGE;Current;Em dia;0
144231027;01/11/2018;01/11/2018;2018;25000.0;8.81;792.79;36.0;A;A5;65000.0;50k-75k;19.83;out/20;debt_consolidation;MI;Source Verified;OWN;Current;Em dia;0
110348608;01/06/2017;01/06/2017;2017;7900.0;7.97;247.45;36.0;A;A5;84000.0;75k-100k;21.73;20-30;credit_card;NC;Not Verified;OWN;Charged Off;Inadimplente;1
126246935;01/01/2018;01/01/2018;2018;10500.0;5.32;316.21;36.0;A;A1;88000.0;75k-100k;22.43;20-30;credit_card;AL;Not Verified;MORTGAGE;Current;Em dia;0
137918069;01/08/2018;01/08/2018;2018;10000.0;8.46;315.5;36.0;A;A5;67000.0;50k-75k;6.7;0-10;credit_card;CA;Not Verified;RENT;Current;Em dia;0
118157550;01/09/2017;01/09/2017;2017;16800.0;7.97;526.22;36.0;A;A5;90000.0;75k-100k;26.89;20-30;debt_consolidation;NY;Not Verified;MORTGAGE;Current;Em dia;0
136192225;01/07/2018;01/07/2018;2018;30000.0;6.67;921.8;36.0;A;A2;210000.0;150k+;11.99;out/20;home_improvement;GA;Source Verified;OWN;Fully Paid;Quitado;0
143980533;01/11/2018;01/11/2018;2018;18000.0;7.56;560.41;36.0;A;A3;54000.0;50k-75k;13.04;out/20;debt_consolidation;TX;Not Verified;MORTGAGE;Current;Em dia;0
139198594;01/08/2018;01/08/2018;2018;7000.0;7.21;216.82;36.0;A;A3;90000.0;75k-100k;13.69;out/20;debt_consolidation;OH;Not Verified;MORTGAGE;Current;Em dia;0
122994628;01/11/2017;01/11/2017;2017;10000.0;7.97;313.23;36.0;A;A5;50000.0;30k-50k;14.11;out/20;debt_consolidation;CA;Not Verified;RENT;Current;Em dia;0
145303345;01/12/2018;01/12/2018;2018;5000.0;6.46;153.16;36.0;A;A1;76000.0;75k-100k;14.97;out/20;credit_card;MA;Source Verified;RENT;Current;Em dia;0
102403414;01/04/2017;01/04/2017;2017;24000.0;6.99;740.95;36.0;A;A2;150000.0;100k-150k;5.73;0-10;debt_consolidation;MI;Not Verified;MORTGAGE;Current;Em dia;0
130532031;01/03/2018;01/03/2018;2018;1500.0;7.34;46.55;36.0;A;A4;51500.0;50k-75k;5.21;0-10;debt_consolidation;TX;Source Verified;RENT;Fully Paid;Quitado;0
134051067;01/05/2018;01/05/2018;2018;40000.0;6.19;1220.33;36.0;A;A2;99530.0;75k-100k;18.22;out/20;credit_card;MD;Not Verified;RENT;Current;Em dia;0
142675126;01/10/2018;01/10/2018;2018;12000.0;6.11;365.67;36.0;A;A1;52000.0;50k-75k;20.52;20-30;credit_card;FL;Not Verified;MORTGAGE;Current;Em dia;0
135116425;01/06/2018;01/06/2018;2018;10000.0;5.31;301.11;36.0;A;A1;200000.0;150k+;21.5;20-30;credit_card;NY;Source Verified;MORTGAGE;Current;Em dia;0
141765161;01/10/2018;01/10/2018;2018;10000.0;6.67;307.27;36.0;A;A2;33600.0;30k-50k;7.57;0-10;debt_consolidation;PA;Verified;OWN;Current;Em dia;0
119337698;01/09/2017;01/09/2017;2017;5000.0;7.97;156.62;36.0;A;A5;15800.0;até 30k;130.17;40+;home_improvement;CO;Verified;MORTGAGE;Fully Paid;Quitado;0
141554380;01/10/2018;01/10/2018;2018;35000.0;7.21;1084.07;36.0;A;A3;120000.0;100k-150k;14.83;out/20;debt_consolidation;NY;Verified;RENT;Current;Em dia;0
131354622;01/04/2018;01/04/2018;2018;40000.0;7.96;1252.72;36.0;A;A5;138000.0;100k-150k;7.56;0-10;small_business;CA;Source Verified;RENT;Late (31-120 days);Inadimplente;1
130917878;01/03/2018;01/03/2018;2018;6000.0;7.34;186.2;36.0;A;A4;50000.0;30k-50k;7.31;0-10;credit_card;FL;Source Verified;MORTGAGE;Fully Paid;Quitado;0
128840027;01/02/2018;01/02/2018;2018;15000.0;7.97;469.84;36.0;A;A5;65000.0;50k-75k;20.97;20-30;debt_consolidation;NJ;Source Verified;RENT;Current;Em dia;0
132053411;01/04/2018;01/04/2018;2018;30000.0;7.96;939.54;36.0;A;A5;168000.0;150k+;10.49;out/20;credit_card;NY;Not Verified;MORTGAGE;Current;Em dia;0
131214520;01/04/2018;01/04/2018;2018;4000.0;6.71;122.98;36.0;A;A3;47496.0;30k-50k;3.39;0-10;car;OH;Not Verified;MORTGAGE;Current;Em dia;0
132427219;01/04/2018;01/04/2018;2018;12600.0;7.96;394.61;36.0;A;A5;39133.2;30k-50k;28.25;20-30;debt_consolidation;CA;Not Verified;RENT;Fully Paid;Quitado;0
139298779;01/08/2018;01/08/2018;2018;35175.0;7.21;1089.49;36.0;A;A3;80000.0;75k-100k;19.25;out/20;debt_consolidation;NC;Source Verified;MORTGAGE;Current;Em dia;0
140381714;01/09/2018;01/09/2018;2018;3025.0;7.84;94.57;36.0;A;A4;90000.0;75k-100k;11.97;out/20;home_improvement;GA;Not Verified;MORTGAGE;Current;Em dia;0
136818324;01/07/2018;01/07/2018;2018;12000.0;8.46;245.97;60.0;A;A5;117000.0;100k-150k;10.73;out/20;credit_card;NH;Not Verified;MORTGAGE;In Grace Period;Outro;0
142586023;01/10/2018;01/10/2018;2018;40000.0;7.21;1238.93;36.0;A;A3;124000.0;100k-150k;30.94;30-40;credit_card;IN;Not Verified;MORTGAGE;Current;Em dia;0
95905276;01/12/2016;01/12/2016;2016;6000.0;7.49;186.61;36.0;A;A4;40000.0;30k-50k;29.33;20-30;debt_consolidation;KY;Verified;RENT;Charged Off;Inadimplente;1
135422770;01/06/2018;01/06/2018;2018;5000.0;7.46;155.44;36.0;A;A4;50000.0;30k-50k;16.42;out/20;credit_card;OR;Source Verified;RENT;Fully Paid;Quitado;0
129196871;01/02/2018;01/02/2018;2018;8000.0;7.34;248.27;36.0;A;A4;60000.0;50k-75k;24.5;20-30;credit_card;IL;Not Verified;RENT;Current;Em dia;0
143922252;01/11/2018;01/11/2018;2018;9000.0;8.19;282.82;36.0;A;A4;38000.0;30k-50k;25.33;20-30;other;MI;Verified;MORTGAGE;Current;Em dia;0
144440037;01/12/2018;01/12/2018;2018;26000.0;8.19;817.03;36.0;A;A4;93000.0;75k-100k;7.21;0-10;credit_card;TX;Not Verified;OWN;Fully Paid;Quitado;0
144132690;01/11/2018;01/11/2018;2018;2000.0;8.19;62.85;36.0;A;A4;50000.0;30k-50k;17.07;out/20;medical;NJ;Not Verified;RENT;Current;Em dia;0
138329195;01/08/2018;01/08/2018;2018;18000.0;7.84;562.73;36.0;A;A4;82000.0;75k-100k;13.89;out/20;credit_card;WI;Source Verified;RENT;Current;Em dia;0
128219418;01/02/2018;01/02/2018;2018;12000.0;5.32;361.38;36.0;A;A1;75000.0;50k-75k;15.74;out/20;debt_consolidation;UT;Not Verified;OWN;Current;Em dia;0
115068134;01/08/2017;01/08/2017;2017;7100.0;7.21;219.91;36.0;A;A3;140000.0;100k-150k;15.41;out/20;major_purchase;TX;Not Verified;MORTGAGE;Current;Em dia;0
144995004;01/12/2018;01/12/2018;2018;7000.0;6.46;214.42;36.0;A;A1;19812.0;até 30k;31.25;30-40;debt_consolidation;CT;Not Verified;RENT;Current;Em dia;0
111817474;01/06/2017;01/06/2017;2017;14400.0;7.07;445.1;36.0;A;A2;65000.0;50k-75k;8.05;0-10;major_purchase;NY;Not Verified;RENT;Current;Em dia;0
107509993;01/05/2017;01/05/2017;2017;19550.0;7.49;608.04;36.0;A;A4;92000.0;75k-100k;15.72;out/20;debt_consolidation;CA;Not Verified;OWN;Fully Paid;Quitado;0
144575969;01/12/2018;01/12/2018;2018;12000.0;8.19;377.09;36.0;A;A4;144000.0;100k-150k;11.15;out/20;debt_consolidation;MD;Not Verified;MORTGAGE;Current;Em dia;0
143455281;01/11/2018;01/11/2018;2018;13000.0;6.46;398.21;36.0;A;A1;93600.0;75k-100k;7.26;0-10;credit_card;WI;Not Verified;MORTGAGE;Current;Em dia;0
133541850;01/05/2018;01/05/2018;2018;6000.0;6.19;183.05;36.0;A;A2;71000.0;50k-75k;14.1;out/20;other;TX;Not Verified;RENT;Fully Paid;Quitado;0
126679075;01/01/2018;01/01/2018;2018;12000.0;7.35;372.45;36.0;A;A4;163000.0;150k+;21.95;20-30;credit_card;SC;Source Verified;MORTGAGE;Current;Em dia;0
120176627;01/10/2017;01/10/2017;2017;3200.0;7.35;99.32;36.0;A;A4;95000.0;75k-100k;8.07;0-10;credit_card;CA;Source Verified;OWN;Fully Paid;Quitado;0
141993311;01/10/2018;01/10/2018;2018;11000.0;7.84;343.89;36.0;A;A4;35000.0;30k-50k;31.0;30-40;debt_consolidation;IL;Not Verified;RENT;Current;Em dia;0
108579227;01/05/2017;01/05/2017;2017;15000.0;7.97;469.84;36.0;A;A5;60000.0;50k-75k;27.98;20-30;major_purchase;MD;Not Verified;RENT;Current;Em dia;0
141447122;01/10/2018;01/10/2018;2018;6000.0;8.46;189.3;36.0;A;A5;75000.0;50k-75k;9.46;0-10;credit_card;TX;Not Verified;MORTGAGE;Current;Em dia;0
141063213;01/09/2018;01/09/2018;2018;25000.0;6.67;768.17;36.0;A;A2;45000.0;30k-50k;12.67;out/20;debt_consolidation;MD;Not Verified;MORTGAGE;Current;Em dia;0
117881232;01/08/2017;01/08/2017;2017;25000.0;7.21;774.34;36.0;A;A3;85000.0;75k-100k;13.89;out/20;debt_consolidation;FL;Not Verified;MORTGAGE;Current;Em dia;0
123994831;01/11/2017;01/11/2017;2017;11000.0;7.97;344.55;36.0;A;A5;77000.0;75k-100k;17.86;out/20;other;CA;Verified;MORTGAGE;Current;Em dia;0
